readlen	start	end	fl	stranded	orig_strand	orig_adapter_config	adapter_config	lab	read_id
170	35	205	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	002caafe-c89f-49ff-a2a8-03f3ec00d37c_0
160	33	193	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	0052b8e1-b38e-4178-aaf7-a8d4d1e289ee_0
1581	34	1615	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	007cab69-7c03-4df1-a20a-c1e16e3eb181_0
115	39	154	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	00dc1aa4-c5a1-45bf-82ec-e955a5fe98ce_0
1052	33	1085	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	01270396-a0a5-4caa-a51c-47316202e98e_0
587	39	626	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	012c49a5-236d-4d6a-89d7-3bd812d2271e_0
141	33	174	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	01799ec2-c6a2-4b02-a4de-077b33d950cc_0
150	36	186	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	017ad651-28af-461d-ab1b-046ba1ed99bf_0
556	10	566	False	True	-	adapter2_r	adapter2_f	single_adapter2	01bde7fc-1a24-49e8-84b0-cb52664015bf_0
105	41	146	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	01c9f82a-2383-4d5a-b3c9-50a59729cec6_0
113	10	123	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	01ec05b1-56ae-435d-b538-f0ed78b3764a_0
167	36	203	False	True	-	adapter2_r	adapter2_f	single_adapter2	022c405f-ff91-436f-876b-377c67110130_0
678	39	717	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	026a8fed-21d8-4d35-a825-7388f2ea95db_0
1275	34	1309	False	True	+	adapter1_f	adapter1_f	single_adapter1	031e374b-903c-4634-9047-b14dab9f7b9e_0
617	34	651	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	0342f771-89e3-4aed-a9bb-867a98161617_0
924	37	961	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	03471480-7d76-4ac9-a223-265700798dce_0
249	33	282	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	03833406-1d26-447e-905f-b66704c2b770_0
933	13	946	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	0397b7b0-5aa6-42f0-940d-040d5cac6dae_0
446	37	483	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	03c7ce3f-ebb3-48c3-92ed-c064f2e4c6fa_0
206	65	271	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	040bc230-73c1-43d4-9ac1-20c3379c5e0d_0
97	34	131	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	041322c0-be5d-44ed-a486-23ab94a88ca5_0
387	44	431	False	True	-	adapter2_r	adapter2_f	single_adapter2	0458dd12-611b-46a5-8fce-17a11b84687a_0
91	33	124	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	04cfde71-1c77-40c2-b985-d66a42081349_0
217	33	250	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	051dcdf3-42ff-4b47-b79f-aa29031bc248_0
